timestamp,open,high,low,close,volume
2025-11-06 15:00:00,102124.99,102932.94,101630.0,102014.48,3027.20967
2025-11-06 16:00:00,102014.49,102393.51,100300.95,100867.2,3035.72721
2025-11-06 17:00:00,100867.19,101946.31,100770.57,101804.01,1310.77048
2025-11-06 18:00:00,101804.02,102338.0,100916.74,101722.13,956.16247
2025-11-06 19:00:00,101722.12,101999.44,101202.73,101388.81,756.60374
2025-11-06 20:00:00,101388.82,101643.28,100638.55,100914.11,812.36283
2025-11-06 21:00:00,100914.11,101220.9,100541.17,101117.17,938.29195
2025-11-06 22:00:00,101117.17,101480.0,101009.7,101415.05,639.89634
2025-11-06 23:00:00,101415.05,101538.0,101132.6,101346.04,1274.34706
2025-11-07 00:00:00,101346.04,101640.0,100749.94,101479.78,823.54705
2025-11-07 01:00:00,101479.79,101894.83,100905.1,101538.96,1095.04627
2025-11-07 02:00:00,101538.96,101928.99,101242.79,101905.11,779.48744
2025-11-07 03:00:00,101905.12,102500.0,101876.03,101916.29,1267.53296
2025-11-07 04:00:00,101916.3,102100.25,101582.92,102027.19,798.08441
2025-11-07 05:00:00,102027.2,102527.0,102024.75,102447.47,701.21696
2025-11-07 06:00:00,102447.48,102496.0,101819.1,101819.1,469.88373
2025-11-07 07:00:00,101819.11,102010.0,101638.43,102010.0,1093.42589
2025-11-07 08:00:00,102009.99,102050.0,101438.39,101496.18,817.45963
2025-11-07 09:00:00,101496.18,101512.51,100775.65,101013.66,1382.92001
2025-11-07 10:00:00,101013.67,101250.03,100564.43,100770.85,1279.53134
2025-11-07 11:00:00,100770.85,100796.86,99803.58,100411.89,3120.50016
2025-11-07 12:00:00,100411.89,100625.0,99260.86,99638.28,1799.68202
2025-11-07 13:00:00,99638.29,100579.72,99455.1,100347.35,1635.46609
2025-11-07 14:00:00,100347.35,100821.33,99519.32,100527.0,1998.88891
